2.16.578.1.12.4.1.1.9327::D01A::TSB start	Tverrfaglig spesialisert rusbehandling (TSB); Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D02XA::Utredning BUP avslutning avbrudd andre årsaker	Utredning av psykiske lidelser – barn og unge; Dato for avslutning av pakkeforløp; Avbrudd av andre årsaker
2.16.578.1.12.4.1.1.9327::D02XG::Utredning BUP avslutning gjennomført	Utredning av psykiske lidelser – barn og unge; Dato for avslutning av pakkeforløp; Avslutning av gjennomført pakkeforløp
2.16.578.1.12.4.1.1.9327::D02XP::Utredning BUP avslutning avbrudd eget ønske	Utredning av psykiske lidelser – barn og unge; Dato for avslutning av pakkeforløp; Avbrudd etter pasientens/foresattes eget ønske
2.16.578.1.12.4.1.1.9327::D02XR::Utredning BUP avslutning	Utredning av psykiske lidelser – barn og unge; Dato for avslutning av pakkeforløp; Rett til helsehjelp ikke innvilget
2.16.578.1.12.4.1.1.9327::D03A::Utredning PHV start	Utredning av psykiske lidelser – voksne; Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D03C::Utredning PHV beslutning	Utredning av psykiske lidelser – voksne; Klinisk beslutning
2.16.578.1.12.4.1.1.9327::D03CA::Utredning PHV beslutning oppfølgning annen	Utredning av psykiske lidelser – voksne; Klinisk beslutning; Behov for oppfølging fra andre instanser som NAV, PPT, arbeidsgiver, skole, barnevern mm.
2.16.578.1.12.4.1.1.9327::D03CI::Utredning PHV beslutning ikke behov	Utredning av psykiske lidelser – voksne; Klinisk beslutning; Ikke behov for videre behandling og/eller oppfølging
2.16.578.1.12.4.1.1.9327::D03CK::Utredning PHV beslutning behandling primær	Utredning av psykiske lidelser – voksne; Klinisk beslutning; Behov for behandling og/eller oppfølging fra fastlege, kommunal helse- og omsorgstjeneste
2.16.578.1.12.4.1.1.9327::D03CP::Utredning PHV beslutning behandling PHV	Utredning av psykiske lidelser – voksne; Klinisk beslutning; Behov for behandling innen psykisk helsevern
2.16.578.1.12.4.1.1.9327::D03CS::Utredning PHV beslutning behandling annen	Utredning av psykiske lidelser – voksne; Klinisk beslutning; Behov for behandling fra annen spesialisthelsetjeneste (ikke Psykisk helsevern eller TSB)
2.16.578.1.12.4.1.1.9327::D03CT::Utredning PHV beslutning behandling TSB	Utredning av psykiske lidelser – voksne; Klinisk beslutning; Behov for behandling innen TSB
2.16.578.1.12.4.1.1.9327::D03CU::Utredning PHV beslutning utvidet utredning	Utredning av psykiske lidelser – voksne; Klinisk beslutning; Behov for utvidet utredning
2.16.578.1.12.4.1.1.9327::D03E::Utredning PHV evaluering	Utredning av psykiske lidelser – voksne; Evalueringspunkt
2.16.578.1.12.4.1.1.9327::D03F::Utredning PHV fastlege	Utredning av psykiske lidelser – voksne; Tilbakemelding til fastlege sendt underveis i pakkeforløpet
2.16.578.1.12.4.1.1.9327::D03O::Utredning PHV overføring	Utredning av psykiske lidelser – voksne; Overført til annet helseforetak/ privat behandlingssted
2.16.578.1.12.4.1.1.9327::D03S::Utredning PHV møte	Utredning av psykiske lidelser – voksne; Samarbeidsmøte med relevante instanser
2.16.578.1.12.4.1.1.9327::D03U::Utredning PHV aktivitet	Utredning av psykiske lidelser – voksne; Dato for utført aktivitet
2.16.578.1.12.4.1.1.9327::D03UU::Utredning PHV aktivitet involvering	Utredning av psykiske lidelser – voksne; Dato for utført aktivitet; Pasienter/ foresatte/pårørende er involvert i utarbeidelse av utredningsplan og/eller behandlingsplan
2.16.578.1.12.4.1.1.9327::D03UV::Utredning PHV aktivitet måling	Utredning av psykiske lidelser – voksne; Dato for utført aktivitet; Standardisert verktøy for måling av symptom og/eller funksjon
2.16.578.1.12.4.1.1.9327::D03X::Utredning PHV avslutning	Utredning av psykiske lidelser – voksne; Dato for avslutning av pakkeforløp
2.16.578.1.12.4.1.1.9327::D03XA::Utredning PHV avslutning avbrudd andre årsaker	Utredning av psykiske lidelser – voksne; Dato for avslutning av pakkeforløp; Avbrudd av andre årsaker
2.16.578.1.12.4.1.1.9327::D03XG::Utredning PHV avslutning gjennomført	Utredning av psykiske lidelser – voksne; Dato for avslutning av pakkeforløp; Avslutning av gjennomført pakkeforløp
2.16.578.1.12.4.1.1.9327::D03XP::Utredning PHV avslutning avbrudd eget ønske	Utredning av psykiske lidelser – voksne; Dato for avslutning av pakkeforløp; Avbrudd etter pasientens/foresattes eget ønske
2.16.578.1.12.4.1.1.9327::D03XR::Utredning PHV avslutning	Utredning av psykiske lidelser – voksne; Dato for avslutning av pakkeforløp; Rett til helsehjelp ikke innvilget
2.16.578.1.12.4.1.1.9327::D04A::Behandling BUP start	Behandling i psykisk helsevern – barn og unge; Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D04C::Behandling BUP beslutning	Behandling i psykisk helsevern – barn og unge; Klinisk beslutning
2.16.578.1.12.4.1.1.9327::D04CA::Behandling BUP beslutning oppfølgning annen	Behandling i psykisk helsevern – barn og unge; Klinisk beslutning; Behov for oppfølging fra andre instanser som NAV, PPT, arbeidsgiver, skole, barnevern mm.
2.16.578.1.12.4.1.1.9327::D04CI::Behandling BUP beslutning ikke behov	Behandling i psykisk helsevern – barn og unge; Klinisk beslutning; Ikke behov for videre behandling og/eller oppfølging
2.16.578.1.12.4.1.1.9327::D04CK::Behandling BUP beslutning behandling primær	Behandling i psykisk helsevern – barn og unge; Klinisk beslutning; Behov for behandling og/eller oppfølging fra fastlege, kommunal helse- og omsorgstjeneste
2.16.578.1.12.4.1.1.9327::D04CP::Behandling BUP beslutning behandling PHV	Behandling i psykisk helsevern – barn og unge; Klinisk beslutning; Behov for behandling innen psykisk helsevern
2.16.578.1.12.4.1.1.9327::D04CS::Behandling BUP beslutning behandling annen	Behandling i psykisk helsevern – barn og unge; Klinisk beslutning; Behov for behandling fra annen spesialisthelsetjeneste (ikke Psykisk helsevern eller TSB)
2.16.578.1.12.4.1.1.9327::D04CT::Behandling BUP beslutning behandling TSB	Behandling i psykisk helsevern – barn og unge; Klinisk beslutning; Behov for behandling innen TSB
2.16.578.1.12.4.1.1.9327::D04E::Behandling BUP evaluering	Behandling i psykisk helsevern – barn og unge; Evalueringspunkt
2.16.578.1.12.4.1.1.9327::D04F::Behandling BUP fastlege	Behandling i psykisk helsevern – barn og unge; Tilbakemelding til fastlege sendt underveis i pakkeforløpet
2.16.578.1.12.4.1.1.9327::D04O::Behandling BUP overføring	Behandling i psykisk helsevern – barn og unge; Overført til annet helseforetak/ privat behandlingssted
2.16.578.1.12.4.1.1.9327::D04S::Behandling BUP møte	Behandling i psykisk helsevern – barn og unge; Samarbeidsmøte med relevante instanser
2.16.578.1.12.4.1.1.9327::D04SI::Behandling BUP møte	Behandling i psykisk helsevern – barn og unge; Samarbeidsmøte med relevante instanser; Vurdert ikke behov for møte
2.16.578.1.12.4.1.1.9327::D04SM::Behandling BUP møte gjennomført	Behandling i psykisk helsevern – barn og unge; Samarbeidsmøte med relevante instanser; Gjennomført møte
2.16.578.1.12.4.1.1.9327::D04U::Behandling BUP aktivitet	Behandling i psykisk helsevern – barn og unge; Dato for utført aktivitet
2.16.578.1.12.4.1.1.9327::D04UF::Behandling BUP aktivitet feedbackverktøy	Behandling i psykisk helsevern – barn og unge; Dato for utført aktivitet; Feedbackverktøy
2.16.578.1.12.4.1.1.9327::D04UU::Behandling BUP aktivitet involvering	Behandling i psykisk helsevern – barn og unge; Dato for utført aktivitet; Pasienter/ foresatte/pårørende er involvert i utarbeidelse av utredningsplan og/eller behandlingsplan
2.16.578.1.12.4.1.1.9327::D04UV::Behandling BUP aktivitet måling	Behandling i psykisk helsevern – barn og unge; Dato for utført aktivitet; Standardisert verktøy for måling av symptom og/eller funksjon
2.16.578.1.12.4.1.1.9327::D04X::Behandling BUP avslutning	Behandling i psykisk helsevern – barn og unge; Dato for avslutning av pakkeforløp
2.16.578.1.12.4.1.1.9327::D04XA::Behandling BUP avslutning avbrudd andre årsaker	Behandling i psykisk helsevern – barn og unge; Dato for avslutning av pakkeforløp; Avbrudd av andre årsaker
2.16.578.1.12.4.1.1.9327::D04XG::Behandling BUP avslutning gjennomført	Behandling i psykisk helsevern – barn og unge; Dato for avslutning av pakkeforløp; Avslutning av gjennomført pakkeforløp
2.16.578.1.12.4.1.1.9327::D04XP::Behandling BUP avslutning avbrudd eget ønske	Behandling i psykisk helsevern – barn og unge; Dato for avslutning av pakkeforløp; Avbrudd etter pasientens/foresattes eget ønske
2.16.578.1.12.4.1.1.9327::D04XR::Behandling BUP avslutning	Behandling i psykisk helsevern – barn og unge; Dato for avslutning av pakkeforløp; Rett til helsehjelp ikke innvilget
2.16.578.1.12.4.1.1.9327::D05A::Behandling PHV start	Behandling i psykisk helsevern – voksne; Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D05C::Behandling PHV beslutning	Behandling i psykisk helsevern – voksne; Klinisk beslutning
2.16.578.1.12.4.1.1.9327::D05CA::Behandling PHV beslutning oppfølgning annen	Behandling i psykisk helsevern – voksne; Klinisk beslutning; Behov for oppfølging fra andre instanser som NAV, PPT, arbeidsgiver, skole, barnevern mm.
2.16.578.1.12.4.1.1.9327::D05CI::Behandling PHV beslutning ikke behov	Behandling i psykisk helsevern – voksne; Klinisk beslutning; Ikke behov for videre behandling og/eller oppfølging
2.16.578.1.12.4.1.1.9327::D05CK::Behandling PHV beslutning behandling primær	Behandling i psykisk helsevern – voksne; Klinisk beslutning; Behov for behandling og/eller oppfølging fra fastlege, kommunal helse- og omsorgstjeneste
2.16.578.1.12.4.1.1.9327::D05CP::Behandling PHV beslutning behandling PHV	Behandling i psykisk helsevern – voksne; Klinisk beslutning; Behov for behandling innen psykisk helsevern
2.16.578.1.12.4.1.1.9327::D05CS::Behandling PHV beslutning behandling annen	Behandling i psykisk helsevern – voksne; Klinisk beslutning; Behov for behandling fra annen spesialisthelsetjeneste (ikke Psykisk helsevern eller TSB)
2.16.578.1.12.4.1.1.9327::D05CT::Behandling PHV beslutning behandling TSB	Behandling i psykisk helsevern – voksne; Klinisk beslutning; Behov for behandling innen TSB
2.16.578.1.12.4.1.1.9327::D05E::Behandling PHV evaluering	Behandling i psykisk helsevern – voksne; Evalueringspunkt
2.16.578.1.12.4.1.1.9327::D05F::Behandling PHV fastlege	Behandling i psykisk helsevern – voksne; Tilbakemelding til fastlege sendt underveis i pakkeforløpet
2.16.578.1.12.4.1.1.9327::D05O::Behandling PHV overføring	Behandling i psykisk helsevern – voksne; Overført til annet helseforetak/ privat behandlingssted
2.16.578.1.12.4.1.1.9327::D05S::Behandling PHV møte	Behandling i psykisk helsevern – voksne; Samarbeidsmøte med relevante instanser
2.16.578.1.12.4.1.1.9327::D05SI::Behandling PHV møte	Behandling i psykisk helsevern – voksne; Samarbeidsmøte med relevante instanser; Vurdert ikke behov for møte
2.16.578.1.12.4.1.1.9327::D05SM::Behandling PHV møte gjennomført	Behandling i psykisk helsevern – voksne; Samarbeidsmøte med relevante instanser; Gjennomført møte
2.16.578.1.12.4.1.1.9327::D05U::Behandling PHV aktivitet	Behandling i psykisk helsevern – voksne; Dato for utført aktivitet
2.16.578.1.12.4.1.1.9327::D05UF::Behandling PHV aktivitet feedbackverktøy	Behandling i psykisk helsevern – voksne; Dato for utført aktivitet; Feedbackverktøy
2.16.578.1.12.4.1.1.9327::D05UU::Behandling PHV aktivitet involvering	Behandling i psykisk helsevern – voksne; Dato for utført aktivitet; Pasienter/ foresatte/pårørende er involvert i utarbeidelse av utredningsplan og/eller behandlingsplan
2.16.578.1.12.4.1.1.9327::D05UV::Behandling PHV aktivitet måling	Behandling i psykisk helsevern – voksne; Dato for utført aktivitet; Standardisert verktøy for måling av symptom og/eller funksjon
2.16.578.1.12.4.1.1.9327::D05X::Behandling PHV avslutning	Behandling i psykisk helsevern – voksne; Dato for avslutning av pakkeforløp
2.16.578.1.12.4.1.1.9327::D05XA::Behandling PHV avslutning avbrudd andre årsaker	Behandling i psykisk helsevern – voksne; Dato for avslutning av pakkeforløp; Avbrudd av andre årsaker
2.16.578.1.12.4.1.1.9327::D05XG::Behandling PHV avslutning gjennomført	Behandling i psykisk helsevern – voksne; Dato for avslutning av pakkeforløp; Avslutning av gjennomført pakkeforløp
2.16.578.1.12.4.1.1.9327::D05XP::Behandling PHV avslutning avbrudd eget ønske	Behandling i psykisk helsevern – voksne; Dato for avslutning av pakkeforløp; Avbrudd etter pasientens/foresattes eget ønske
2.16.578.1.12.4.1.1.9327::D05XR::Behandling PHV avslutning	Behandling i psykisk helsevern – voksne; Dato for avslutning av pakkeforløp; Rett til helsehjelp ikke innvilget
2.16.578.1.12.4.1.1.9327::D06A::Psykose start	Psykoselidelser – inkludert debuterende psykose; Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D06C::Psykose beslutning	Psykoselidelser – inkludert debuterende psykose; Klinisk beslutning
2.16.578.1.12.4.1.1.9327::D06CA::Psykose beslutning oppfølgning annen	Psykoselidelser – inkludert debuterende psykose; Klinisk beslutning; Behov for oppfølging fra andre instanser som NAV, PPT, arbeidsgiver, skole, barnevern mm.
2.16.578.1.12.4.1.1.9327::D06CI::Psykose beslutning ikke behov	Psykoselidelser – inkludert debuterende psykose; Klinisk beslutning; Ikke behov for videre behandling og/eller oppfølging
2.16.578.1.12.4.1.1.9327::D06CK::Psykose beslutning behandling primær	Psykoselidelser – inkludert debuterende psykose; Klinisk beslutning; Behov for behandling og/eller oppfølging fra fastlege, kommunal helse- og omsorgstjeneste
2.16.578.1.12.4.1.1.9327::D06CP::Psykose beslutning behandling PHV	Psykoselidelser – inkludert debuterende psykose; Klinisk beslutning; Behov for behandling innen psykisk helsevern
2.16.578.1.12.4.1.1.9327::D06CS::Psykose beslutning behandling annen	Psykoselidelser – inkludert debuterende psykose; Klinisk beslutning; Behov for behandling fra annen spesialisthelsetjeneste (ikke Psykisk helsevern eller TSB)
2.16.578.1.12.4.1.1.9327::D06CT::Psykose beslutning behandling TSB	Psykoselidelser – inkludert debuterende psykose; Klinisk beslutning; Behov for behandling innen TSB
2.16.578.1.12.4.1.1.9327::D06E::Psykose evaluering	Psykoselidelser – inkludert debuterende psykose; Evalueringspunkt
2.16.578.1.12.4.1.1.9327::D06F::Psykose fastlege	Psykoselidelser – inkludert debuterende psykose; Tilbakemelding til fastlege sendt underveis i pakkeforløpet
2.16.578.1.12.4.1.1.9327::D06O::Psykose overføring	Psykoselidelser – inkludert debuterende psykose; Overført til annet helseforetak/ privat behandlingssted
2.16.578.1.12.4.1.1.9327::D06P::Psykose symptomstart	Psykoselidelser – inkludert debuterende psykose; Dato for start på symptomer på psykose
2.16.578.1.12.4.1.1.9327::D06S::Psykose møte	Psykoselidelser – inkludert debuterende psykose; Samarbeidsmøte med relevante instanser
2.16.578.1.12.4.1.1.9327::D06SI::Psykose møte	Psykoselidelser – inkludert debuterende psykose; Samarbeidsmøte med relevante instanser; Vurdert ikke behov for møte
2.16.578.1.12.4.1.1.9327::D06SM::Psykose møte gjennomført	Psykoselidelser – inkludert debuterende psykose; Samarbeidsmøte med relevante instanser; Gjennomført møte
2.16.578.1.12.4.1.1.9327::D06U::Psykose aktivitet	Psykoselidelser – inkludert debuterende psykose; Dato for utført aktivitet
2.16.578.1.12.4.1.1.9327::D06UF::Psykose aktivitet feedbackverktøy	Psykoselidelser – inkludert debuterende psykose; Dato for utført aktivitet; Feedbackverktøy
2.16.578.1.12.4.1.1.9327::D06UU::Psykose aktivitet involvering	Psykoselidelser – inkludert debuterende psykose; Dato for utført aktivitet; Pasienter/ foresatte/pårørende er involvert i utarbeidelse av utredningsplan og/eller behandlingsplan
2.16.578.1.12.4.1.1.9327::D06UV::Psykose aktivitet måling	Psykoselidelser – inkludert debuterende psykose; Dato for utført aktivitet; Standardisert verktøy for måling av symptom og/eller funksjon
2.16.578.1.12.4.1.1.9327::D06X::Psykose avslutning	Psykoselidelser – inkludert debuterende psykose; Dato for avslutning av pakkeforløp
2.16.578.1.12.4.1.1.9327::D06XA::Psykose avslutning avbrudd andre årsaker	Psykoselidelser – inkludert debuterende psykose; Dato for avslutning av pakkeforløp; Avbrudd av andre årsaker
2.16.578.1.12.4.1.1.9327::D06XG::Psykose avslutning gjennomført	Psykoselidelser – inkludert debuterende psykose; Dato for avslutning av pakkeforløp; Avslutning av gjennomført pakkeforløp
2.16.578.1.12.4.1.1.9327::D06XP::Psykose avslutning avbrudd eget ønske	Psykoselidelser – inkludert debuterende psykose; Dato for avslutning av pakkeforløp; Avbrudd etter pasientens/foresattes eget ønske
2.16.578.1.12.4.1.1.9327::D06XR::Psykose avslutning	Psykoselidelser – inkludert debuterende psykose; Dato for avslutning av pakkeforløp; Rett til helsehjelp ikke innvilget
2.16.578.1.12.4.1.1.9327::D07A::Tvang start	Tvangslidelse (OCD); Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D07C::Tvang beslutning	Tvangslidelse (OCD); Klinisk beslutning
2.16.578.1.12.4.1.1.9327::D07CA::Tvang beslutning oppfølgning annen	Tvangslidelse (OCD); Klinisk beslutning; Behov for oppfølging fra andre instanser som NAV, PPT, arbeidsgiver, skole, barnevern mm.
2.16.578.1.12.4.1.1.9327::D07CI::Tvang beslutning ikke behov	Tvangslidelse (OCD); Klinisk beslutning; Ikke behov for videre behandling og/eller oppfølging
2.16.578.1.12.4.1.1.9327::D07CK::Tvang beslutning behandling primær	Tvangslidelse (OCD); Klinisk beslutning; Behov for behandling og/eller oppfølging fra fastlege, kommunal helse- og omsorgstjeneste
2.16.578.1.12.4.1.1.9327::D07CP::Tvang beslutning behandling PHV	Tvangslidelse (OCD); Klinisk beslutning; Behov for behandling innen psykisk helsevern
2.16.578.1.12.4.1.1.9327::D07CS::Tvang beslutning behandling annen	Tvangslidelse (OCD); Klinisk beslutning; Behov for behandling fra annen spesialisthelsetjeneste (ikke Psykisk helsevern eller TSB)
2.16.578.1.12.4.1.1.9327::D07CT::Tvang beslutning behandling TSB	Tvangslidelse (OCD); Klinisk beslutning; Behov for behandling innen TSB
2.16.578.1.12.4.1.1.9327::D07E::Tvang evaluering	Tvangslidelse (OCD); Evalueringspunkt
2.16.578.1.12.4.1.1.9327::D07F::Tvang fastlege	Tvangslidelse (OCD); Tilbakemelding til fastlege sendt underveis i pakkeforløpet
2.16.578.1.12.4.1.1.9327::D07O::Tvang overføring	Tvangslidelse (OCD); Overført til annet helseforetak/ privat behandlingssted
2.16.578.1.12.4.1.1.9327::D07S::Tvang møte	Tvangslidelse (OCD); Samarbeidsmøte med relevante instanser
2.16.578.1.12.4.1.1.9327::D07T::Tvang OCD	Tvangslidelse (OCD); OCD-behandling avsluttet
2.16.578.1.12.4.1.1.9327::D07U::Tvang aktivitet	Tvangslidelse (OCD); Dato for utført aktivitet
2.16.578.1.12.4.1.1.9327::D07UE::Tvang aktivitet eksponerigsterapi	Tvangslidelse (OCD); Dato for utført aktivitet; Eksponeringsterapi for tvangslidelse
2.16.578.1.12.4.1.1.9327::D07UF::Tvang aktivitet feedbackverktøy	Tvangslidelse (OCD); Dato for utført aktivitet; Feedbackverktøy
2.16.578.1.12.4.1.1.9327::D07UM::Tvang aktivitet medikamentell behandling	Tvangslidelse (OCD); Dato for utført aktivitet; Medikamentell behandling for tvangslidelse
2.16.578.1.12.4.1.1.9327::D07UU::Tvang aktivitet involvering	Tvangslidelse (OCD); Dato for utført aktivitet; Pasienter/ foresatte/pårørende er involvert i utarbeidelse av utredningsplan og/eller behandlingsplan
2.16.578.1.12.4.1.1.9327::D07UV::Tvang aktivitet måling	Tvangslidelse (OCD); Dato for utført aktivitet; Standardisert verktøy for måling av symptom og/eller funksjon
2.16.578.1.12.4.1.1.9327::D07X::Tvang avslutning	Tvangslidelse (OCD); Dato for avslutning av pakkeforløp
2.16.578.1.12.4.1.1.9327::D07XA::Tvang avslutning avbrudd andre årsaker	Tvangslidelse (OCD); Dato for avslutning av pakkeforløp; Avbrudd av andre årsaker
2.16.578.1.12.4.1.1.9327::D07XG::Tvang avslutning gjennomført	Tvangslidelse (OCD); Dato for avslutning av pakkeforløp; Avslutning av gjennomført pakkeforløp
2.16.578.1.12.4.1.1.9327::D07XP::Tvang avslutning avbrudd eget ønske	Tvangslidelse (OCD); Dato for avslutning av pakkeforløp; Avbrudd etter pasientens/foresattes eget ønske
2.16.578.1.12.4.1.1.9327::D07XR::Tvang avslutning	Tvangslidelse (OCD); Dato for avslutning av pakkeforløp; Rett til helsehjelp ikke innvilget
